Opcode,Format type,Format Value,Other field,Value,Operation,Sparc V8 Manual main description page,Sparc V8 Manual main description Chapter reference,Insn Category,Insn Category Index,Format Index,Processing Status,Privilege,Notes,"Register Type, if any",ASM Rator Syntax,Num Args,ASM Arg 1,ASM Arg 2,ASM Arg 3,ASM Arg 4,END
SETHI,op2,100,,,Set High-Order 22 bits,104,B9,Integer Arith,2,op22,raw,0,"const22, %hi (value)",nr,sethi,2,imm22,rd,,,end
NOP,op2,100,,,"No Operation, argument is ignored.",105,B10,Integer Arith,2,op23,raw,1,special case of SETHI with rd = 0 and imm22=0,n,nop,1,imm22,,,,end
BA,op2,1000,a,0000,Branch Always,119,B21,Control Transfer,3,op21,raw,0,,n,ba,1,disp22,,,,end
BN,op2,0000,a,0000,Branch Never,119,B21,Control Transfer,3,op21,raw,0,,n,bn,1,disp22,,,,end
BNE,op2,1001,a,0000,Branch on Not Equal,119,B21,Control Transfer,3,op21,raw,0,,n,bne,1,disp22,,,,end
BE,op2,0001,a,0000,Branch on Equal,119,B21,Control Transfer,3,op21,raw,0,,n,be,1,disp22,,,,end
BG,op2,1010,a,0000,Branch on Greater,119,B21,Control Transfer,3,op21,raw,0,,n,bg,1,disp22,,,,end
BLE,op2,0010,a,0000,Branch on Less or Equal,119,B21,Control Transfer,3,op21,raw,0,,n,ble,1,disp22,,,,end
BGE,op2,1011,a,0000,Branch on Greater or Equal,119,B21,Control Transfer,3,op21,raw,0,,n,bge,1,disp22,,,,end
BL,op2,0011,a,0000,Branch on Less,119,B21,Control Transfer,3,op21,raw,0,,n,bl,1,disp22,,,,end
BGU,op2,1100,a,0000,Branch on Greater Unsigned,119,B21,Control Transfer,3,op21,raw,0,,n,bgu,1,disp22,,,,end
BLEU,op2,0100,a,0000,Branch on Less or Equal Unsigned,119,B21,Control Transfer,3,op21,raw,0,,n,bleu,1,disp22,,,,end
BCC,op2,1101,a,0000,"Branch on Carry Clear (Greater than or Equal, Unsigned)",119,B21,Control Transfer,3,op21,raw,0,,n,bcc,1,disp22,,,,end
BCS,op2,0101,a,0000,"Branch on Carry Set (Less than, Unsigned)",119,B21,Control Transfer,3,op21,raw,0,,n,bcs,1,disp22,,,,end
BPOS,op2,1110,a,0000,Branch on Positive,119,B21,Control Transfer,3,op21,raw,0,,n,bpos,1,disp22,,,,end
BNEG,op2,0110,a,0000,Branch on Negative,119,B21,Control Transfer,3,op21,raw,0,,n,bneg,1,disp22,,,,end
BVC,op2,1111,a,0000,Branch on Overflow Clear,119,B21,Control Transfer,3,op21,raw,0,,n,bvc,1,disp22,,,,end
BVS,op2,0111,a,0000,Branch on Overflow Set,119,B21,Control Transfer,3,op21,raw,0,,n,bvs,1,disp22,,,,end
FBA,op2,1000,a,0000,FCC Branch Always,121,B22,Control Transfer,3,op21,raw,0,,n,fba,1,disp22,,,,end
FBN,op2,0000,a,0000,FCC Branch Never,121,B22,Control Transfer,3,op21,raw,0,,n,fbn,1,disp22,,,,end
FBU,op2,0111,a,0000,FCC Branch on Unordered,121,B22,Control Transfer,3,op21,raw,0,,n,fbu,1,disp22,,,,end
FBG,op2,0110,a,0000,FCC Branch on Greater,121,B22,Control Transfer,3,op21,raw,0,,n,fbg,1,disp22,,,,end
FBUG,op2,0101,a,0000,FCC Branch on Unordered or Greater,121,B22,Control Transfer,3,op21,raw,0,,n,fbug,1,disp22,,,,end
FBL,op2,0100,a,0000,FCC Branch on Less,121,B22,Control Transfer,3,op21,raw,0,,n,fbl,1,disp22,,,,end
FBUL,op2,0011,a,0000,FCC Branch on Unordered or Less,121,B22,Control Transfer,3,op21,raw,0,,n,fbul,1,disp22,,,,end
FBLG,op2,0010,a,0000,FCC Branch on Less or Greater,121,B22,Control Transfer,3,op21,raw,0,,n,fblg,1,disp22,,,,end
FBNE,op2,0001,a,0000,FCC Branch on Not Equal,121,B22,Control Transfer,3,op21,raw,0,,n,fbne,1,disp22,,,,end
FBE,op2,1001,a,0000,FCC Branch on Equal,121,B22,Control Transfer,3,op21,raw,0,,n,fbe,1,disp22,,,,end
FBUE,op2,1010,a,0000,FCC Branch on Unordered or Equal,121,B22,Control Transfer,3,op21,raw,0,,n,fbue,1,disp22,,,,end
FBGE,op2,1011,a,0000,FCC Branch on Greater or Equal,121,B22,Control Transfer,3,op21,raw,0,,n,fbge,1,disp22,,,,end
FBUGE,op2,1100,a,0000,FCC Branch on Unordered or Greater or Equal,121,B22,Control Transfer,3,op21,raw,0,,n,fbuge,1,disp22,,,,end
FBLE,op2,1101,a,0000,FCC Branch on Less or Equal,121,B22,Control Transfer,3,op21,raw,0,,n,fble,1,disp22,,,,end
FBULE,op2,1110,a,0000,FCC Branch on Unordered or Less or Equal,121,B22,Control Transfer,3,op21,raw,0,,n,fbule,1,disp22,,,,end
FBO,op2,1111,a,0000,FCC Branch on Ordered,121,B22,Control Transfer,3,op21,raw,0,,n,fbo,1,disp22,,,,end
CBA,op2,1000,a,0000,CCC Branch Always,123,B23,Control Transfer,3,op21,raw,0,,n,cba,1,disp22,,,,end
CBN,op2,0000,a,0000,CCC Branch Never,123,B23,Control Transfer,3,op21,raw,0,,n,cbn,1,disp22,,,,end
CB3,op2,0111,a,0000,CCC Branch on Unordered,123,B23,Control Transfer,3,op21,raw,0,,n,cb3,1,disp22,,,,end
CB2,op2,0110,a,0000,CCC Branch on Greater,123,B23,Control Transfer,3,op21,raw,0,,n,cb2,1,disp22,,,,end
CB23,op2,0101,a,0000,CCC Branch on Unordered or Greater,123,B23,Control Transfer,3,op21,raw,0,,n,cb23,1,disp22,,,,end
CB1,op2,0100,a,0000,CCC Branch on Less,123,B23,Control Transfer,3,op21,raw,0,,n,cb1,1,disp22,,,,end
CB13,op2,0011,a,0000,CCC Branch on Unordered or Less,123,B23,Control Transfer,3,op21,raw,0,,n,cb13,1,disp22,,,,end
CB12,op2,0010,a,0000,CCC Branch on Less or Greater,123,B23,Control Transfer,3,op21,raw,0,,n,cb12,1,disp22,,,,end
CB123,op2,0001,a,0000,CCC Branch on Not Equal,123,B23,Control Transfer,3,op21,raw,0,,n,cb123,1,disp22,,,,end
CB0,op2,1001,a,0000,CCC Branch on Equal,123,B23,Control Transfer,3,op21,raw,0,,n,cb0,1,disp22,,,,end
